# Pixel Table for ALFOSC grism: 
# order = 5
#
# Pixel    Wavelength [Å]
   120.75    3889.75
   146.15    3965.84
   166.33    4027.33
   307.77    4472.73
   381.49    4714.47
   444.14    4923.31
   471.87    5017.07
   830.46    6268.23
   945.10    6680.05
  1342.67    8138.64
  1386.87    8302.61
  1407.52    8379.91
  1439.08    8497.70
